Orden;Artículo;Descripción:;Descripción:;Dpto;Instalación;Oper;CBT;Última actividad;Fecha de creación
M003420;SE300006;PHP III - 1;Troq Ecol 60 Gr Oficio;SOT;ST300;10;4;2/01/2024;18/10/2006
M985470;63014;PREPRENSA LITO;Hj 17 X 11 Caratula S25;PREP;PP001;20;C;2/01/2024;13/02/2007
M985470;63014;LAMINADORA;Hj 17 X 11 Caratula S25;ILIT;IL506;40;4;2/01/2024;24/03/2023
M985470;63014;GUILLOTINA III VALORES;Hj 17 X 11 Caratula S25;LIBR;GL651;60;4;2/01/2024;17/01/2007
M985470;63014;SPEED MASTER 6 COLORES;Hj 17 X 11 Caratula S25;ILIT;IL504;70;4;2/01/2024;30/01/2010
M991090;SE2100002;BARNIZADORA DE TARJETAS (SPEED MASTER );Pvc Cal 13 310 X 441mm Pr2 Pvc;TJTA;BA504;10;4;2/01/2024;6/12/2021
M900410;59503;ARMADORA DE BOLSAS 2;Sot Para Ensayo Y/o Muestra;BOLS;BLS03;10;P;3/01/2024;27/07/2022
M928760;SE2100002;BARNIZADORA DE TARJETAS (SPEED MASTER );Pvc Cal 13 310 X 441mm Pr2 Pvc;TJTA;BA504;10;4;3/01/2024;6/12/2021
M986370;59572;ROBOSUM III;Ro 80 X 60 T/mico 48 Gr S/bpa;ROLL;RO408;10;P;3/01/2024;23/12/2019
M987180;57601;HARRIS 1200 - II;Fc Bca 9 1/2 X 11 1p 60 Gr;FORM;FC002;10;P;4/01/2024;18/10/2006
M892850;59560;TERCEROS;Carpeta 4 Aletas No. 52;TERC;TR001;20;C;10/01/2024;22/05/2007
M958770;SE300060;PHP III - 1;Troq Mg  60 Gr Radiografia;SOT;ST300;10;4;10/01/2024;18/10/2006
M959690;SE300003;PHP III - 1;Troq Ecol 60 Gr 1/2 Oficio;SOT;ST300;10;4;10/01/2024;18/10/2006
M965490;SE300005;PHP III - 1;Troq Ecol 60 Gr Carta Esp;SOT;ST300;10;4;10/01/2024;18/10/2006
M976220;SE300007;PHP III - 1;Troq Ecol 60 Gr Gigante;SOT;ST300;10;4;10/01/2024;18/10/2006
M978210;SE2162171;SPEED MASTER 6 COLORES;Bond 75gr  59,2 X 81 Imp 4 :0;ILIT;IL504;10;4;10/01/2024;30/01/2010
M997570;SE300001;PHP III - 1;Troq Ecol 60 Gr Sobre De Pago;SOT;ST300;10;4;10/01/2024;18/10/2006
M000190;6177;CONVERTIDORA VI ( SEIS );Earth Pack Natural Ofset 295;CONV;CN606;10;P;12/01/2024;7/03/2023
M000190;6177;CALIBRACION PAPEL;Earth Pack Natural Ofset 295;CONV;CL001;20;P;12/01/2024;13/02/2007
M000190;6177;MESA DE TERMINADOS CONV;Earth Pack Natural Ofset 295;CONV;MT002;30;P;12/01/2024;19/01/2013
M001820;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;12/01/2024;17/01/2007
M001820;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;12/01/2024;13/02/2007
M001820;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;12/01/2024;19/01/2013
M001830;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;12/01/2024;17/01/2007
M001830;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;12/01/2024;13/02/2007
M001830;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;12/01/2024;19/01/2013
M001840;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;12/01/2024;17/01/2007
M001840;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;12/01/2024;13/02/2007
M001840;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;12/01/2024;19/01/2013
M001850;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;12/01/2024;17/01/2007
