Artículo;Descripción:;U/M almacenamiento;Peso unitario;U/M de peso;Gramaje;Ancho;Altura;UM dimensional;Área M2;Fecha de creación
SE000001;BOND BCO 75 gr 70 X 100 cm;UN;52,5;GR;75;70;100;CM;0,7;7/12/2006
SE000002;BOND BCO 75 gr 84 X 55,3cm;UN;34,839;GR;75;84;55,3;CM;0,465;7/12/2006
SE000003;BOND BCO 75 gr 48,5 X 73,4cm;UN;26,699;GR;75;48,5;73,4;CM;0,356;7/12/2006
SE000004;BOND BCO 75 gr 56 X 79 cm;UN;33,18;GR;75;56;79;CM;0,442;7/12/2006
SE000005;BOND BCO 75 gr 48,3 X 72,5 cm;UN;26,263;GR;75;48,3;72,5;CM;0,35;7/12/2006
SE000006;OFFS BCO 75 gr 98 X 68 cm;UN;49,98;GR;75;98;68;CM;0,666;7/12/2006
SE000007;OFFS BCO 75 gr 83,3 X 63,5 cm;UN;39,672;GR;75;83,3;63,5;CM;0,529;7/12/2006
SE000008;OFFS BCO 75 gr 48,5 X 23,5 cm;UN;8,548;GR;75;48,5;23,5;CM;0,114;7/12/2006
SE000009;OFFS BCO 75 gr 55,5 X26,5 cm;UN;11,031;GR;75;55,5;26,5;CM;0,147;7/12/2006
SE000010;OFFS BCO 75 gr 99 X 88,5 cm;UN;65,711;GR;75;99;88,5;CM;0,876;7/12/2006
SE000011;OFFS BCO 75 gr 100 X 85,5 cm;UN;64,125;GR;75;100;85,5;CM;0,855;7/12/2006
SE000012;OFFS BCO 75 gr 83 X 52 cm;UN;32,37;GR;75;83;52;CM;0,432;7/12/2006
SE000013;OFFS BCO 75 gr 95 X 54 cm;UN;38,475;GR;75;95;54;CM;0,513;7/12/2006
SE000014;OFFS BCO 75gr 96 X 72,5 cm S/R;UN;52,2;GR;75;96;72,5;CM;0,696;7/12/2006
SE000015;OFFS BCO 75 gr 83,5 X 55,6 cm;UN;34,82;GR;75;83,5;55,6;CM;0,464;7/12/2006
SE000016;OFFS BCO 75 gr 69,5 X 97,1 cm;UN;50,61;GR;75;69,5;97,1;CM;0,674;7/12/2006
SE000017;OFFS BCO 75 gr 98 X 68 cm;UN;49,98;GR;75;98;68;CM;0,666;7/12/2006
SE000018;OFFS BCO 75 gr 76 X107 cm;UN;60,99;GR;75;76;107;CM;0,813;7/12/2006
SE000019;OFFS BCO 75 gr 83 X 50,5 cm;UN;31,436;GR;75;83;50,5;CM;0,419;7/12/2006
SE000020;OFFS BCO 75 gr 48,3 X 72,5 cm;UN;26,263;GR;75;48,3;72,5;CM;0,35;7/12/2006
SE000021;OFFS BCO 75 gr 37,6 X 49 cm;UN;13,818;GR;75;37,6;49;CM;0,184;7/12/2006
SE000022;OFFS BCO 75 gr 98 X 67,5 cm;UN;49,613;GR;75;98;67,5;CM;0,662;7/12/2006
SE000023;OFFS BCO 75 gr 95 X 54,5 cm;UN;38,831;GR;75;95;54,5;CM;0,518;7/12/2006
SE000024;OFFS BCO 75 gr 87,5 X 67,5 cm;UN;44,297;GR;75;87,5;67,5;CM;0,591;7/12/2006
SE000025;OFFS BCO 75 gr 95 X 57 cm;UN;40,613;GR;75;95;57;CM;0,542;7/12/2006
SE000026;OFFS BCO 75 gr 48 X 50,3 cm;UN;18,108;GR;75;48;50,3;CM;0,241;7/12/2006
SE000027;OFFS BCO 90 gr 70 X 100 cm;UN;63;GR;90;70;100;CM;0,7;7/12/2006
SE000028;REPROG ALTA BCO 75 gr 86,7X58;UN;37,715;GR;75;86,7;58;CM;0,503;7/12/2006
SE000029;OFFS ULTRABCO 75 gr 35,5X51cm;UN;13,579;GR;75;35,5;51;CM;0,181;7/12/2006
SE000030;OFFS ULTRABCO 90 gr 70X100cm;UN;63;GR;90;70;100;CM;0,7;7/12/2006
SE000031;OFFS ULTRABCO 90 gr 53X125cm;UN;59,625;GR;90;53;125;CM;0,663;7/12/2006
SE000032;ECOL 60 gr 76 X 92 cm;UN;41,952;GR;60;76;92;CM;0,699;7/12/2006
SE000033;ECOL 60 gr 53 X 114,2 cm;UN;36,316;GR;60;53;114,2;CM;0,605;7/12/2006
SE000034;ECOL 60 gr 53 X 125,6 cm;UN;39,941;GR;60;53;125,6;CM;0,666;7/12/2006
SE000035;ECOL 60 gr 57 X 88,2 cm;UN;30,164;GR;60;57;88,2;CM;0,503;7/12/2006
SE000036;ECOL 60 gr 90 X 111,8 cm;UN;60,372;GR;60;90;111,8;CM;1,006;7/12/2006
SE000037;ECOL 60 gr 90 X 100,7 cm;UN;54,378;GR;60;90;100,7;CM;0,906;7/12/2006
SE000038;ECOL 60 gr 64 X 92 cm;UN;35,328;GR;60;64;92;CM;0,589;7/12/2006
SE000039;ECOL 60 gr 96 X 72,5 cm;UN;41,76;GR;60;96;72,5;CM;0,696;7/12/2006
SE000040;ECOL 60 gr 53 X 72,5 cm;UN;23,055;GR;60;53;72,5;CM;0,384;7/12/2006
SE000041;ECOL 60 gr 76 X 107 cm;UN;48,792;GR;60;76;107;CM;0,813;7/12/2006
SE000042;MANILA ECOL 60gr 76 X 95,6 cm;UN;43,594;GR;60;76;95,6;CM;0,727;7/12/2006
SE000043;ECOL 60 gr 92 X 114,2 cm;UN;63,038;GR;60;92;114,2;CM;1,051;7/12/2006
SE000044;MANILA 60 gr 76 X 92 cm;UN;41,952;GR;60;76;92;CM;0,699;7/12/2006
SE000045;MANILA 60 gr 53 X 114,2 cm;UN;36,316;GR;60;53;114,2;CM;0,605;7/12/2006
SE000046;MANILA 60 gr 53 X 125,6 cm;UN;39,941;GR;60;53;125,6;CM;0,666;7/12/2006
SE000047;MANILA 60 gr 76 X 107 cm;UN;48,792;GR;60;76;107;CM;0,813;7/12/2006
SE000048;MANILA 60 gr 57 X 125,6 cm;UN;42,955;GR;60;57;125,6;CM;0,716;7/12/2006
SE000051;MANILA 90 gr 38 X 69 cm;UN;23,598;GR;90;38;69;CM;0,262;7/12/2006
SE000052;MANILA 90 gr 41,5 X 106 cm;UN;39,591;GR;90;41,5;106;CM;0,44;7/12/2006
SE000053;ESMALTADO C2S 90 gr 70 X 100;UN;63;GR;90;70;100;CM;0,7;7/12/2006
SE000054;PAPEL KIMBERLY 90 gr;UN;0;;0;0;0;;0;7/12/2006
SE000055;ECOL 60 gr 64 X 95,6 cm;UN;36,71;GR;60;64;95,6;CM;0,612;7/12/2006
SE000056;OFFS BCO 75 gr 53 x 125,6 cm;UN;49,926;GR;75;53;125,6;CM;0,666;7/12/2006
SE300001;TROQ ECOL 60 gr SOBRE DE PAGO;UN;2,349;GR;60;0;0;;0,039;7/12/2006
SE300002;TROQ ECOL 60 gr 1/2 CARTA;UN;5,776;GR;60;0;0;;0,096;7/12/2006
SE300003;TROQ ECOL 60 gr 1/2 OFICIO;UN;7,695;GR;0;0;0;;0,128;7/12/2006
SE300004;TROQ ECOL 60 gr CARTA;UN;8,526;GR;60;0;0;;0,142;7/12/2006
SE300005;TROQ ECOL 60 gr CARTA ESP;UN;10,338;GR;60;0;0;;0,172;7/12/2006
SE300006;TROQ ECOL 60 gr OFICIO;UN;11,54;GR;60;25;35;CM;0,192;7/12/2006
SE300007;TROQ ECOL 60 gr GIGANTE;UN;13,16;GR;0;0;0;;0,219;7/12/2006
SE300008;TROQ ECOL 60 gr GIGANTE ESP;UN;15,954;GR;0;0;0;;0,265;7/12/2006
SE300009;TROQ ECOL 60 gr RADIOGRAFIA;UN;21,072;GR;60;0;0;;0,351;7/12/2006
SE300010;TROQ BOND 75 gr CARTA;UN;10,659;GR;75;0;0;;0,142;7/12/2006
SE300011;TROQ BOND 75 gr OFICIO;UN;14,427;GR;75;25;35;;0,192;7/12/2006
SE500001;BOB FORMAS 60 gr de 10 5/8 BCA;KG;1;KG;60;10,625;2431,368;IN;16,666;7/12/2006
SE500002;BOB FORMAS 60 gr de 10 5/8 RDA;KG;1;KG;60;10,625;2431,368;IN;16,666;7/12/2006
SE500003;BOB FORMAS 60 gr de 14 7/8 BCA;KG;1;KG;60;14,875;1736,691;IN;16,666;7/12/2006
SE500004;BOB FORMAS 60 gr de 14 7/8 RDA;KG;1;KG;60;14,875;1736,69;IN;16,666;7/12/2006
SE500005;BOB FORMAS 60 gr de 9 1/2 BCA;KG;1;KG;60;9,5;0;IN;16,666;7/12/2006
SE500006;BOB FORMAS 60 gr de 9 1/2 RDA;KG;1;KG;60;9,5;2719,293;IN;16,666;7/12/2006
SE000057;MANILA 60 gr 90 X 100,7 cm;UN;54,378;GR;60;90;100,7;CM;0,906;18/01/2007
SE000058;MANILA 60 gr 96 X 72,5 cm;UN;41,76;GR;60;96;72,5;CM;0,696;18/01/2007
SE000059;MANILA 60 gr 57 X 88,2 cm;UN;30,164;GR;60;57;88,2;CM;0,503;18/01/2007
SE000060;MANILA 60 gr 64 X 95,6 cm;UN;36,71;GR;60;64;95,6;CM;0,612;18/01/2007
SE000061;BOND BCO 90 gr 48,3 X 72,5 cm;UN;31,516;GR;90;48,3;72,5;CM;0,35;18/01/2007
